TABLE NO.  1
 NUM         IPRED       NPDE        CWRES       DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  1.8487E-01  2.9096E-01  1.2161E+00  0.0000E+00  1.2161E+00  2.9096E-01
  2.0000E+00  0.0000E+00  2.4747E+00  3.0063E+00  1.2565E+01  0.0000E+00  1.2565E+01  3.0063E+00
  3.0000E+00  0.0000E+00  2.7131E+00  2.6840E+00  1.1218E+01  0.0000E+00  1.1218E+01  2.6840E+00
  4.0000E+00  0.0000E+00  2.9352E+00  4.2370E+00  1.7709E+01  0.0000E+00  1.7709E+01  4.2370E+00
  5.0000E+00  0.0000E+00  2.9352E+00  5.2457E+00  2.1925E+01  0.0000E+00  2.1925E+01  5.2457E+00
  6.0000E+00  0.0000E+00  2.9352E+00  3.8772E+00  1.6205E+01  0.0000E+00  1.6205E+01  3.8772E+00
  7.0000E+00  0.0000E+00  2.9352E+00  4.4722E+00  1.8692E+01  0.0000E+00  1.8692E+01  4.4722E+00
  8.0000E+00  0.0000E+00  2.9352E+00  5.6915E+00  2.3788E+01  0.0000E+00  2.3788E+01  5.6915E+00
  9.0000E+00  0.0000E+00  2.9352E+00  3.9418E+00  1.6475E+01  0.0000E+00  1.6475E+01  3.9418E+00
  1.0000E+01  0.0000E+00  2.9352E+00  4.1502E+00  1.7346E+01  0.0000E+00  1.7346E+01  4.1502E+00
  1.1000E+01  0.0000E+00  2.9352E+00  4.3959E+00  1.8373E+01  0.0000E+00  1.8373E+01  4.3959E+00
  1.2000E+01  0.0000E+00  2.9352E+00  4.3669E+00  1.8252E+01  0.0000E+00  1.8252E+01  4.3669E+00
  1.3000E+01  0.0000E+00  2.9352E+00  4.3925E+00  1.8359E+01  0.0000E+00  1.8359E+01  4.3925E+00
  1.4000E+01  0.0000E+00  2.7131E+00  3.1240E+00  1.3057E+01  0.0000E+00  1.3057E+01  3.1240E+00
  1.5000E+01  0.0000E+00  2.9352E+00  3.6209E+00  1.5134E+01  0.0000E+00  1.5134E+01  3.6209E+00
  1.6000E+01  0.0000E+00  1.8808E+00  2.0214E+00  8.4486E+00  0.0000E+00  8.4486E+00  2.0214E+00
  1.7000E+01  0.0000E+00  2.3263E+00  2.6282E+00  1.0985E+01  0.0000E+00  1.0985E+01  2.6282E+00
  1.8000E+01  0.0000E+00  1.2090E+00  1.3724E+00  5.7362E+00  0.0000E+00  5.7362E+00  1.3724E+00
  1.9000E+01  0.0000E+00  2.0537E+00  2.0147E+00  8.4208E+00  0.0000E+00  8.4208E+00  2.0147E+00
  4.0000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.1000E+01  0.0000E+00 -2.5069E-02 -1.7647E-02 -7.3757E-02  0.0000E+00 -7.3757E-02 -1.7647E-02
  4.2000E+01  1.1907E+01 -7.6098E-01 -7.4077E-01  9.3116E+00  9.4159E+00 -1.0434E-01 -6.8055E-01
  4.3000E+01  1.8374E+01  5.8284E-01  7.8340E-01  2.0167E+01  1.4528E+01  5.6392E+00  7.1934E-01
  4.4000E+01  2.1797E+01  8.3555E-03  9.1239E-02  2.1678E+01  1.7231E+01  4.4470E+00  1.1566E-01
  4.5000E+01  2.3517E+01  5.9277E-01  7.4878E-01  2.4841E+01  1.8587E+01  6.2536E+00  6.6682E-01
  4.6000E+01  2.4287E+01 -1.2265E+00 -1.2398E+00  2.1191E+01  1.9192E+01  1.9991E+00 -9.6370E-01
  4.7000E+01  2.4527E+01 -6.8502E-01 -8.7171E-01  2.2233E+01  1.9378E+01  2.8551E+00 -6.5621E-01
  4.8000E+01  2.4475E+01  5.2440E-01  7.8926E-01  2.5764E+01  1.9332E+01  6.4319E+00  7.0362E-01
  4.9000E+01  2.4261E+01  1.0083E+00  1.0759E+00  2.6171E+01  1.9159E+01  7.0121E+00  9.4318E-01
  5.0000E+01  2.3960E+01  1.4279E+00  1.5177E+00  2.6855E+01  1.8917E+01  7.9380E+00  1.3137E+00
  5.1000E+01  2.3614E+01  5.9277E-01  5.8521E-01  2.4440E+01  1.8639E+01  5.8009E+00  5.4754E-01
  5.2000E+01  2.3245E+01 -1.2566E-01 -1.5834E-01  2.2379E+01  1.8343E+01  4.0355E+00 -6.9886E-02
  5.3000E+01  2.2866E+01 -9.5417E-01 -1.0456E+00  1.9932E+01  1.8040E+01  1.8916E+00 -8.1539E-01
  5.4000E+01  2.1359E+01  6.7449E-01  4.1566E-01  2.1774E+01  1.6835E+01  4.9390E+00  4.1995E-01
  5.5000E+01  1.7354E+01  6.2293E-01  4.8807E-01  1.7953E+01  1.3639E+01  4.3139E+00  4.9792E-01
  5.6000E+01  1.4098E+01 -1.0043E-01 -1.5505E-01  1.2802E+01  1.1049E+01  1.7534E+00 -8.8847E-02
  5.7000E+01  1.1453E+01  4.3073E-01  2.3745E-01  1.1368E+01  8.9501E+00  2.4179E+00  2.6985E-01
  5.8000E+01  9.3047E+00  9.5417E-01  9.3981E-01  1.1672E+01  7.2502E+00  4.4218E+00  9.3435E-01
  5.9000E+01  7.5591E+00  1.6789E-01  2.1392E-01  7.5140E+00  5.8732E+00  1.6408E+00  2.3964E-01
  6.0000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.1000E+01  0.0000E+00 -1.3409E-01 -5.7463E-02 -2.4017E-01  0.0000E+00 -2.4017E-01 -5.7463E-02
  6.2000E+01  6.8738E+00  2.6198E-01  3.1692E-01  8.3117E+00  9.3911E+00 -1.0794E+00  3.5561E-01
  6.3000E+01  1.0596E+01  4.2158E-01  4.0120E-01  1.2332E+01  1.4445E+01 -2.1130E+00  4.7794E-01
  6.4000E+01  1.2554E+01 -1.2445E+00 -1.1108E+00  9.5114E+00  1.7073E+01 -7.5621E+00 -1.1846E+00
